Quel est l'enseignant du cours d'analyse factorielle ?	L'enseignant d'analyse factorielle est Pr. profAF
Quels sont les TP d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Il y a des TP d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Il y a des Travaux Pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Quels sont les Travaux Pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Il y a des exercices pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.
Quels sont les exercices pratiques d'analyse factorielle ?	Quatre travaux pratiques sont proposés en analyse factorielle, TP1 : analyse en composantes principales, TP2 : analyse factorielle discriminante, TP3 : analyse factorielle des correspondances simples et multiples, TP4 : analyse des corrélations canoniques.

Quel est le programme d'analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
C'est quoi le programme d'analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
On fait quoi en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quel est le contenu de l'UE analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quel est le contenu du cours d'analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quels sont les thèmes abordés en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Vous faites quoi en analyse factorielle?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quels sont les méthodes enseignées en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Quels sont les algorithmes d'analyse factorielle enseignés ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
Vous enseignez quoi en analyse factorielle ?	Dans l'UE analyse factorielle, vous verrez les méthodes de statistique multidimensionnelle pour décrire et réduire la dimension de l'espace de représentation.
